month,pct_role_assignment,pct_template_structure,pct_meta_instruction,n_turns
2023-04,2.618869803335823,0.019915359721184963,0.38337067463281055,20085
2023-05,1.4968927316941367,0.0,0.19454201567144014,18505
2023-06,1.9592861430988378,0.0,0.21284724117229709,18323
2023-07,1.7881036370271257,0.0,0.1824595547986863,16442
2023-08,2.2030786612060442,0.0,0.27538483265075553,14162
2023-09,1.8731200437517093,0.0,0.2529395679518731,14628
2023-10,1.3577207175518817,0.0,0.24621878297572986,14215
2023-11,1.2854419090965004,0.0,0.31367242757857183,16259
2023-12,1.9770480627201454,0.0,0.48858084308601296,17602
2024-01,1.5839623808934538,0.04331147135255538,0.3031802994678876,16162
2024-02,1.6763897270837527,0.020116676725005028,0.6303225373834909,14913
2024-03,1.0964761050962002,0.027584304530722015,0.39997241569546926,14501
2024-04,1.4016036365932194,0.04419470926194836,0.7513100574531221,15839
