month,pct_please,pct_thanks,pct_apology,pct_hedge,pct_greeting,n_turns
2023-04,6.457555389594225,1.8073188946975356,0.557630072193179,0.6372915110779188,2.1757530495394573,20085
2023-05,5.614698730072954,1.4482572277762766,0.5025668738178871,0.7187246690083762,1.8049175898405836,18505
2023-06,7.302297658680347,4.267860066582983,2.8161327293565463,1.7900998744747039,2.248540086230421,18323
2023-07,12.69310302882861,2.584843692981389,1.2711348984308477,1.2832988687507603,1.6664639338280014,16442
2023-08,19.9759920915125,3.3399237395848047,2.153650614320011,2.4996469425222427,1.7652873887868945,14162
2023-09,17.6510801203172,2.93956795187312,1.613344271260596,1.8457752255947497,1.579163248564397,14628
2023-10,13.935983116426309,3.1516004220893423,1.6531832571227576,1.5898698557861413,1.5335912768202602,14215
2023-11,15.41300202964512,2.952211083092441,1.0455747585952395,1.1808844332369763,1.6114152161879576,16259
2023-12,17.412794000681743,3.3575730030678335,1.511191910010226,2.306556073173503,1.5736848085444837,17602
2024-01,20.628635069917088,6.082168048508848,3.0194282885781463,3.8794703625788887,1.7077094419007548,16162
2024-02,16.15369141017904,3.38630724870918,2.226245557567223,2.031784349225508,1.5221618721920471,14913
2024-03,21.63299082821874,2.406730570305496,1.4274877594648645,1.9515895455485828,1.434383835597545,14501
2024-04,21.71222930740577,2.481217248563672,1.104867731548709,2.115032514678957,1.0669865521813247,15839
